,Type of Work:,Registration Number / Date:,Application Title:,Title:,Area Covered:,Imprint:,Description:,Notes:,Copyright Claimant:,Date of Creation:,Date of Publication:,Previous Registration:,Basis of Claim:,Variant title:,Other Title:,Names:,Series:,Copyright Note:,Authorship on Application:,Edition:
0,['Map'],['VA0000901207 / 1998-05-28 '],"['EDR Sanborn Color digital maps--Chicago, IL, stockyards, grainyards.']","['Chicago, Illinois : stockyards, grain elevators, 1901.']",['Chicago'],"['Southport, CT : EDR Sanborn,  [1998]']",['CD-ROM.'],['Digital map.'],"['EDR Sanborn, Inc.']",['1998'],['1998-05-04  '],"['Prev. reg. 1997, VA 383-601.']",['New Matter: compilation and additional artwork.'],"['Chicago, Illinois : stockyards, grain elevators, 1901.']","['EDR Sanborn Color digital maps--Chicago, IL, stockyards, grainyards.']","['EDR Sanborn, Inc.']",[],[],[],[]
1,['Map'],['VA0000901208 / 1998-06-22 '],"['EDR Sanborn Color digital maps--Chicago, IL, vol. 10, 1896.']","['Chicago, Illinois : vol. 10, 1896.']",['Chicago'],"['Southport, CT : EDR Sanborn,  [1998]']",['CD-ROM.'],['Digital map.'],"['EDR Sanborn, Inc.']",['1998'],['1998-06-01  '],"['Prev. reg. 1997, VA 383-601.']",['New Matter: compilation and additional artwork.'],"['Chicago, Illinois : vol. 10, 1896.']","['EDR Sanborn Color digital maps--Chicago, IL, vol. 10, 1896.']","['EDR Sanborn, Inc.']",[],[],[],[]
2,['Map'],['VA0000901213 / 1998-06-22 '],"['EDR Sanborn Color digital maps--Chicago, vol. 8, 1914.']","['Chicago, Illinois : vol. 8, 1914.']",['Chicago'],"['Southport, CT : EDR Sanborn,  [1998]']",['CD-ROM.'],['Digital map.'],"['EDR Sanborn, Inc.']",['1998'],['1998-06-01  '],"['Prev. reg. 1997, VA 383-601.']",['New Matter: compilation and additional artwork.'],"['Chicago, Illinois : vol. 8, 1914.']","['EDR Sanborn Color digital maps--Chicago, vol. 8, 1914.']","['EDR Sanborn, Inc.']",[],[],[],[]
3,['Map'],['VA0000901188 / 1998-06-22 '],"['EDR Sanborn Color digital maps--Chicago, vol. 9, 1894.']","['Chicago, Illinois : vol. 9, 1894.']",['Chicago'],"['Southport, CT : EDR Sanborn,  [1998]']",['CD-ROM.'],['Digital map.'],"['EDR Sanborn, Inc.']",['1998'],['1998-06-01  '],"['Prev. reg. 1997, VA 383-601.']",['New Matter: compilation and additional artwork.'],"['Chicago, Illinois : vol. 9, 1894.']","['EDR Sanborn Color digital maps--Chicago, vol. 9, 1894.']","['EDR Sanborn, Inc.']",[],[],[],[]
4,['Map'],['VA0000901205 / 1998-05-28 '],"['EDR Sanborn Color digital maps--Chicago, IL, vol. 1, 1906.']","['Chicago, Illinois : vol. A, 1894, vol. 1, 1906.']",['Chicago'],"['Southport, CT : EDR Sanborn,  [1998]']",['CD-ROM.'],['Digital map.'],"['EDR Sanborn, Inc.']",['1998'],['1998-05-04  '],"['Prev. reg. 1997, VA 383-601.']",['New Matter: compilation and additional artwork.'],"['Chicago, Illinois : vol. A, 1894, vol. 1, 1906.']","['EDR Sanborn Color digital maps--Chicago, IL, vol. 1, 1906.']","['EDR Sanborn, Inc.']",[],[],[],[]
5,['Map'],['VA0000901206 / 1998-05-28 '],"['EDR Sanborn Color digital maps--Chicago, IL, vol. B, 1896.']","['Chicago, Illinois : vol. B, 1896.']",['Chicago'],"['Southport, CT : EDR Sanborn,  [1998]']",['CD-ROM.'],['Digital map.'],"['EDR Sanborn, Inc.']",['1998'],['1998-05-04  '],"['Prev. reg. 1997, VA 383-601.']",['New Matter: compilation and additional artwork.'],"['Chicago, Illinois : vol. B, 1896.']","['EDR Sanborn Color digital maps--Chicago, IL, vol. B, 1896.']","['EDR Sanborn, Inc.']",[],[],[],[]
6,['Map'],['VA0000901189 / 1998-05-28 '],"['EDR Sanborn Color digital maps--Chicago, IL, vol. C, 1895.']","['Chicago, Illinois : vol. C, 1895.']",['Chicago'],"['Southport, CT : EDR Sanborn,  [1998]']",['CD-ROM.'],['Digital map.'],"['EDR Sanborn, Inc.']",['1998'],['1998-05-04  '],"['Prev. reg. 1997, VA 383-601.']",['New Matter: compilation and additional artwork.'],"['Chicago, Illinois : vol. C, 1895.']","['EDR Sanborn Color digital maps--Chicago, IL, vol. C, 1895.']","['EDR Sanborn, Inc.']",[],[],[],[]
7,['Text'],"['RE0000752221 / 1997-04-29 ', 'Renewal registration for: Not reg.; addendum submitted under PL 102-307 / 1967-09-01  ']",[],"['Adrian, Michigan, 1967.  By Sanborn Map Company.']",[],[],[],[],"['EDR Sanborn, Inc. (PWH)']",[],[],[],['New Matter: new cartographic additions & revisions.'],"['Adrian, Michigan, 1967']",['Sanborn Map Company'],"['EDR Sanborn, Inc.']",['Sanborn map'],[],[],[]
8,['Map'],['VAu000367487 / 1997-05-05 '],['Digital Sanborn maps for Alabama.'],"['Alabama : vol. CD139 / Environmental Data Resources, Inc.']",['Alabama'],[],['CD-ROM.'],[],"['EDR Sanborn, Inc. (employer for hire)']",['1996'],[],['Preexisting material: prev. pub. maps.'],['New Matter: editing and new organization of maps.'],[],"['Sanborn maps', 'Digital Sanborn maps for Alabama.']","['Environmental Data Resources, Inc.', 'EDR Sanborn, Inc.']",['Sanborn maps'],['C.O. correspondence.'],[],[]
9,['Map'],['VAu000367489 / 1997-05-05 '],['Digital Sanborn maps for Alaska.'],"['Alaska : vol. CD195 / Environmental Data Resources, Inc.']",['Alaska'],[],['CD-ROM.'],[],"['EDR Sanborn, Inc. (employer for hire)']",['1996'],[],['Preexisting material: prev. pub. maps.'],['New Matter: editing and new organization of maps.'],[],"['Sanborn maps', 'Digital Sanborn maps for Alaska.']","['Environmental Data Resources, Inc.', 'EDR Sanborn, Inc.']",['Sanborn maps'],['C.O. correspondence.'],[],[]
