,Type of Work:,Registration Number / Date:,Title:,Copyright Claimant:,Basis of Claim:,Variant title:,Other Title:,Names:,Copyright Note:,Area Covered:,Edition:,Description:,Date of Creation:,Date of Publication:,Authorship on Application:,Previous Registration:,Notes:,Application Title:,Series:,Imprint:,Date in Notice:
0,['Text'],"['RE0000752200 / 1997-04-29 ', 'Renewal registration for: Not reg.; addendum submitted under PL 102-307 / 1965-01-01  ']","['Sanborn Map Rockland, Maine 1965.  By Sanborn Map Company.']","['EDR Sanborn, Inc. (PWH)']",['New Matter: new cartographic additions & revisions.'],"['Sanborn Map Rockland, Maine 1965']","['Rockland, Maine 1965']","['Sanborn Map Company.', 'EDR Sanborn, Inc.']",[],[],[],[],[],[],[],[],[],[],[],[],[]
1,['Text'],"['RE0000752233 / 1997-04-29 ', 'Renewal registration for: Not reg.; addendum submitted under PL 102-307 / 1964-01-01  ']","['Sanborn Map Rocky Mount, North Carolina 1964.  By Sanborn Map Company.']","['EDR Sanborn, Inc. (PWH)']",['New Matter: new cartographic additions & revisions.'],"['Sanborn Map Rocky Mount, North Carolina 1964.']","['Rocky Mount, North Carolina 1964']","['Sanborn Map Company', 'EDR Sanborn, Inc.']",[],[],[],[],[],[],[],[],[],[],[],[],[]
2,['Text'],"['RE0000793343 / 1998-11-03 ', 'Renewal registration for: Not reg.; addendum submitted under PL 102-307 / 1969-01-01  ']","['Sanborn map Rocky Mount, North Carolina.  By Sanborn Map Company.']","['EDR Sanborn, Inc. (PWH)']",['New Matter: new cartographic additions and revisions.'],"['Sanborn map Rocky Mount, North Carolina.']","['Rocky Mount, North Carolina']","['Sanborn Map Company.', 'EDR Sanborn, Inc.']",[],[],[],[],[],[],[],[],[],[],[],[],[]
3,['Text'],"['RE0000758401 / 1997-07-16 ', 'Renewal registration for: Not reg.; addendum submitted under PL 102-307 / *PUB approx. 1Jan69  ']","['Sanborn Map Rome, Georgia 1969.  By Sanborn Map Company.']","['EDR Sanborn, Inc. (PWH)']",['New Matter: new cartographic additions & revisions.'],"['Sanborn Map Rome, Georgia 1969.']","['Rome, Georgia 1969']","['Sanborn Map Company', 'EDR Sanborn, Inc.']",['C.O. correspondence.'],[],[],[],[],[],[],[],[],[],[],[],[]
4,['Text'],"['RE0000754299 / 1997-05-05 ', 'Renewal registration for: Not reg.; addendum submitted under PL 102-307 / *PUB approx. 1Aug64  ']","['Sanborn Map Roslyn, New York 1964.  By Sanborn Map Company.']","['EDR Sanborn, Inc.  (PWH)']",['New Matter: new cartographic additions & revisions.'],"['Sanborn Map Roslyn, New York 1964.']","['Roslyn, New York 1964']","['Sanborn Map Company', 'EDR Sanborn, Inc.']",[],[],[],[],[],[],[],[],[],[],[],[],[]
5,['Text'],"['RE0000752645 / 1997-04-29 ', 'Renewal registration for: Not reg.; addendum submitted under PL 102-307 / 1968-01-01  ']","['Sanborn Map Royal Oak, Michigan 1968.  By Sanborn Map Company, Inc.']","['EDR Sanborn, Inc. (PWH)']",['New Matter: new cartographic additions & revisions.'],"['Sanborn Map Royal Oak, Michigan 1968.']","['Royal Oak, Michigan 1968']","['Sanborn Map Company, Inc.', 'EDR Sanborn, Inc.']",[],[],[],[],[],[],[],[],[],[],[],[],[]
6,['Text'],"['RE0000752839 / 1997-04-16 ', 'Renewal registration for: Not reg.; addendum submitted under PL 102-307 / PUB approx. 1Jan66  ']","['Sanborn map, Ruston, Louisiana.  By Sanborn Map Company.']","['EDR Sanborn, Inc. (PWH)']",['New Matter: new cartographic additions & revisions.'],"['Sanborn map, Ruston, Louisiana']","['Ruston, Louisiana']","['Sanborn Map Company', 'EDR Sanborn, Inc.']",[],[],[],[],[],[],[],[],[],[],[],[],[]
7,['Text'],"['RE0000755226 / 1997-05-05 ', 'Renewal registration for: Not reg.; addendum submitted under PL 102-307 / *PUB approx. 1Jan68  ']","['Sanborn Map Rutherford, New Jersey 1968.  By Sanborn Map Company.']","['EDR Sanborn, Inc. (PWH)']",['New Matter: new cartographic additions & revisions.'],"['Sanborn Map Rutherford, New Jersey 1968.']","['Rutherford, New Jersey 1968']","['Sanborn Map Company.', 'EDR Sanborn, Inc.']",[],[],[],[],[],[],[],[],[],[],[],[],[]
8,['Text'],"['RE0000751418 / 1997-04-16 ', 'Renewal registration for: Not reg.: addendum submitted under PL 102-307 / *PUB approx. 1Jun64  ']","['Sanborn map Sacramento, California, 1964.  Vol. 1 & 2.  By Sanborn Map Company.']","['EDR Sanborn, Inc. (PWH)']",['New Matter: new cartographic additions & revisions.'],"['Sanborn map Sacramento, California, 1964.']","['Sacramento, California, 1964']","['Sanborn Map Company.', 'EDR Sanborn, Inc.']",[],[],[],[],[],[],[],[],[],[],[],[],[]
9,['Text'],"['RE0000754300 / 1997-05-05 ', 'Renewal registration for: Not reg.; addendum submitted under PL 102-307 / *PUB approx. 1Jun64  ']","['Sanborn Map Sag Harbor, New York 1964.  By Sanborn Map Company.']","['EDR Sanborn, Inc.  (PWH)']",['New Matter: new cartographic additions & revisions.'],"['Sanborn Map Sag Harbor, New York 1964.']","['Sag Harbor, New York 1964']","['Sanborn Map Company.', 'EDR Sanborn, Inc.']",[],[],[],[],[],[],[],[],[],[],[],[],[]
10,['Text'],"['RE0000752853 / 1997-04-16 ', 'Renewal registration for: Not reg.; addendum submitted under PL 102-307 / 1965-01-01  ']","['Sanborn map Saint Augustine, Florida, 1965.  By Sanborn Map Company, Inc.']","['EDR Sanborn, Inc. (PWH)']",['New Matter: additions & revisions.'],"['Sanborn map Saint Augustine, Florida, 1965']","['Sanborn Map Company, Inc.']","['EDR Sanborn, Inc.']",[],[],[],[],[],[],[],[],[],[],[],[],[]
11,['Text'],"['RE0000752854 / 1997-04-16 ', 'Renewal registration for: Not reg.; addendum submitted under PL 102-307 / 1965-01-01  ']","['Sanborn map Saint Petersburg, Florida, 1965.  Vol. 1.  By Sanborn Map Company.']","['EDR Sanborn, Inc. (PWH)']",['New Matter: additions & revisions.'],"['Sanborn map Saint Petersburg, Florida, 1965']",['Sanborn Map Company'],"['EDR Sanborn, Inc.']",[],[],[],[],[],[],[],[],[],[],[],[],[]
12,['Text'],"['RE0000751389 / 1997-04-16 ', 'Renewal registration for: Not reg.; addendum submitted under PL 102-307 / *PUB approx. 1Jan65  ']","['Sanborn map Salem, Massachusetts, 1965.  By Sanborn Map Company.']","['EDR Sanborn, Inc. (PWH)']",['New Matter: new cartographic additions & revisions.'],"['Sanborn map Salem, Massachusetts, 1965.']","['Salem, Massachusetts, 1965']","['Sanborn Map Company', 'EDR Sanborn, Inc.']",[],[],[],[],[],[],[],[],[],[],[],[],[]
13,['Text'],"['RE0000758417 / 1997-07-16 ', 'Renewal registration for: Not reg.; addendum submitted under PL 102-307 / *PUB approx. 1Jan67  ']","['Sanborn Map Salina, Kansas 1967.  By Sanborn Map Company.']","['EDR Sanborn, Inc. (PWH)']",['New Matter: new cartographic additions & revisions.'],"['Sanborn Map Salina, Kansas 1967.']","['Salina, Kansas 1967']","['Sanborn Map Company', 'EDR Sanborn, Inc.']",['C.O. correspondence.'],[],[],[],[],[],[],[],[],[],[],[],[]
14,['Text'],"['RE0000761795 / 1997-04-16 ', 'Renewal registration for: Not reg.; addendum submitted under PA0000102307 / *PUB approx. 1Jun69  ']","['Sanborn Map Salinas, California 1969.  By Sanborn Map Company.']","['EDR Sanborn, Inc. (PWH)']",['New Matter: new cartographic additions & revisions.'],"['Sanborn Map Salinas, California 1969.']","['Salinas, California 1969']","['Sanborn Map Company.', 'EDR Sanborn, Inc.']",['C.O. correspondence.'],[],[],[],[],[],[],[],[],[],[],[],[]
