,Type of Work:,Registration Number / Date:,Title:,Copyright Claimant:,Basis of Claim:,Variant title:,Names:,Other Title:,Copyright Note:,Area Covered:,Edition:,Notes:,Date of Creation:,Date of Publication:,Authorship on Application:,Previous Registration:,Description:,Application Title:,Series:,Scale:
0,['Text'],"['RE0000823349 / 1999-09-16 ', 'Renewal registration for: Not reg.; addendum submitted under PL 102-307 / *PUB 1Jan65  ']","['Sanborn map Brockton, Mass.  Vol. 2, 1965.']","['Sanborn Library, LLC (PWH)']",['New Matter: new cartographic additions and revisions.'],"['Sanborn map Brockton, Mass.']","['Sanborn Library, LLC']",[],[],[],[],[],[],[],[],[],[],[],[],[]
1,['Text'],"['RE0000813401 / 1999-08-13 ', 'Renewal registration for: Not reg.; addendum submitted under PL 102-307 / 1970-01-01  ']","['Sanborn map, Burlingame, California, 1970.  By Sanborn Map Company.']","['Sanborn Library, LLC (PWH)']",['New Matter: new cartographic additions & revisions.'],"['Sanborn map, Burlingame, California, 1970']","['Sanborn Map Company.', 'Sanborn Library, LLC']",[],[],[],[],[],[],[],[],[],[],[],[],[]
2,['Text'],"['RE0000813399 / 1999-08-13 ', 'Renewal registration for: Not reg.; addendum submitted under PL 102-307 / 1965-05-01  ']","['Sanborn map, Butte, Montana, vol. 2, 1965.  By Sanborn Map Company.']","['Sanborn Library, LLC (PWH)']",['New Matter: new cartographic additions & revisions.'],"['Sanborn map, Butte, Montana, vol. 2, 1965']","['Sanborn Map Company.', 'Sanborn Library, LLC']",[],[],[],[],[],[],[],[],[],[],[],[],[]
3,['Text'],"['RE0000693821 / 1999-07-06 ', 'Renewal registration for: Not reg.; addendum submitted under PL 102-307 / *PUB 1Jan66  ']","['Sanborn Map Canton, Ohio.  Vol. 2, 1966.  By Sanborn Map Company.']","['Sanborn Library, LLC (PWH)']",['New Matter: new cartographic additions & revisions.'],"['Sanborn Map Canton, Ohio.']","['Sanborn Map Company.', 'Sanborn Library, LLC']","['Canton, Ohio']",[],[],[],[],[],[],[],[],[],[],[],[]
4,['Text'],"['RE0000693820 / 1999-07-06 ', 'Renewal registration for: Not reg.; addendum submitted under PL 102-307 / *PUB 1Jan65  ']","['Sanborn Map Canton, Ohio.  Vol. 3, 1965.  By Sanborn Map Company.']","['Sanborn Library, LLC (PWH)']",['New Matter: new cartographic additions & revisions.'],"['Sanborn Map Canton, Ohio.']","['Sanborn Map Company.', 'Sanborn Library, LLC']","['Canton, Ohio']",[],[],[],[],[],[],[],[],[],[],[],[]
5,['Text'],"['RE0000813268 / 1999-08-13 ', 'Renewal registration for: Not reg.; addendum submitted under PL 102-307 / PUB 1Mar64  ']","['Sanborn Map Chattanooga, Tennessee.  Vol. 4, 1964.  By Sanborn Map Company.']","['Sanborn Library, LLC (PWH)']",['New Matter: new cartographic additions & revisions.'],"['Sanborn Map Chattanooga, Tennessee.']","['Sanborn Map Company.', 'Sanborn Library, LLC']",[],[],[],[],[],[],[],[],[],[],[],[],[]
6,['Text'],"['RE0000813269 / 1999-08-13 ', 'Renewal registration for: Not reg.; addendum submitted under PL 102-307 / PUB 1Mar64  ']","['Sanborn Map Chattanooga, Tennessee.  Vol. 5, 1964.  By Sanborn Map Company.']","['Sanborn Library, LLC (PWH)']",['New Matter: new cartographic additions & revisions.'],"['Sanborn Map Chattanooga, Tennessee.']","['Sanborn Map Company.', 'Sanborn Library, LLC']",[],[],[],[],[],[],[],[],[],[],[],[],[]
7,['Text'],"['RE0000813270 / 1999-08-13 ', 'Renewal registration for: Not reg.; addendum submitted under PL 102-307 / PUB 1Apr64  ']","['Sanborn Map Chattanooga, Tennessee.  Vol. 6, 1964.  By Sanborn Map Company.']","['Sanborn Library, LLC (PWH)']",['New Matter: new cartographic additions & revisions.'],"['Sanborn Map Chattanooga, Tennessee.']","['Sanborn Map Company.', 'Sanborn Library, LLC']",[],[],[],[],[],[],[],[],[],[],[],[],[]
8,['Text'],"['RE0000813271 / 1999-08-13 ', 'Renewal registration for: Not reg.; addendum submitted under PL 102-307 / PUB 1Apr64  ']","['Sanborn Map Chattanooga, Tennessee.  Vol. 7, 1964.  By Sanborn Map Company.']","['Sanborn Library, LLC (PWH)']",['New Matter: new cartographic additions & revisions.'],"['Sanborn Map Chattanooga, Tennessee.']","['Sanborn Map Company.', 'Sanborn Library, LLC']",[],[],[],[],[],[],[],[],[],[],[],[],[]
9,['Text'],"['RE0000813278 / 1999-08-13 ', 'Renewal registration for: Not reg.; addendum submitted under PL 102-307 / PUB 1Jan65  ']","['Sanborn Map Chattonooga, Tennessee.  Vol. 1, 1965.  By Sanborn Map Company.']","['Sanborn Library, LLC (PWH)']",['New Matter: new cartographic additions & revisions.'],"['Sanborn Map Chattonooga, Tennessee.']","['Sanborn Map Company.', 'Sanborn Library, LLC']",[],[],[],[],[],[],[],[],[],[],[],[],[]
