,Type of Work:,Registration Number / Date:,Application Title:,Title:,Area Covered:,Description:,Copyright Claimant:,Date of Creation:,Date of Publication:,Authorship on Application:,Previous Registration:,Basis of Claim:,Copyright Note:,Variant title:,Other Title:,Names:,Edition:,Notes:,Series:,Scale:
0,['Map'],['VA0001060584 / 1998-11-03 '],"['Sanborn Map, Wheeling, WV, vol. 2, 1982; Sanborn fire insurance map.']","['Insurance maps of Wheeling, West Virginia : vol. 2.']","['Wheeling, WV']",['Sheets.'],"['EDR Sanborn, Inc.']",['1982'],['1982-01-01  '],"['Sanborn Map Company, employer for hire.']",['Map versions prev. pub.'],['New Matter: new & rev. map & cartographic compilation.'],['C.O. correspondence.'],"['Insurance maps of Wheeling, West Virginia : vol. 2.']","['Sanborn Map, Wheeling, WV, vol. 2, 1982', 'Sanborn fire insurance map.']","['EDR Sanborn, Inc.', 'Sanborn Map Company']",[],[],[],[]
1,['Map'],['VA0000992794 / 2000-02-11 '],"['Sanborn Map, Winneteka, IL, 1984.']","['Insurance maps of Winnetka, Illinois.']","['Winnetka, IL']",['6 p.'],['Sanborn Map Company'],['1984'],['1984-01-01  '],[],['Preexisting material: prev. pub. map versions.'],['New Matter: updated cartography.'],['C.O. correspondence.'],[],"['Winnetka, Illinois']",['Sanborn Map Company'],['Rev. to 1984.'],[],[],[]
2,['Map'],['VA0000996798 / 2000-01-10 '],"['Sanborn map, Winthrop, MA, 1980.']","['Insurance maps of Winthrop, Massachusetts.']","['Winthrop, MA']",['5 p.'],['Sanborn Map Company'],['1980'],['1980-01-01  '],[],['Preexisting material: prev. pub. map versions.'],['New Matter: updated cartography.'],['C.O. correspondence.'],[],[],['Sanborn Map Company'],['Rev. Oct. 1980.'],['Maps.'],[],[]
3,['Map'],['VA0000996821 / 2000-01-10 '],"['Sanborn map Yonkers, NY, vol. 1, 1978.']","['Insurance maps of Yonkers, New York : vol. 1.']","['Yonkers, NY']",['6 p.'],['Sanborn Map Company'],['1978'],['1978-01-01  '],[],['Preexisting material: prev. pub. map versions.'],['New Matter: updated cartography.'],['C.O. correspondence.'],"['Insurance maps of Yonkers, New York : vol. 1']","['Sanborn map Yonkers, NY, vol. 1, 1978']",['Sanborn Map Company'],['Rev. to 1978.'],[],[],[]
4,['Map'],['VA0001078428 / 1999-09-16 '],"['Yonkers, NY, vol. 1A, 1990.']","['Insurance maps of Yonkers, New York : vol. 1A.']","['Yonkers, NY']",[],['Sanborn Map Company'],['1990'],['1990-01-01  '],[],['Pub. map versions preexisting.'],['New Matter: updated cartography.'],['C.O. correspondence.'],"['Insurance maps of Yonkers, New York : vol. 1A.']","['Yonkers, NY, vol. 1A, 1990.']",['Sanborn Map Company'],['Ed. of 1917.'],[],[],[]
5,['Map'],['VA0000996038 / 1999-02-25 '],"['Sanborn map, Yonkers, NY, vol. 2, 1991; Sanborn fire insurance map.']","['Insurance maps of Yonkers, New York : vol. 2.']","['Yonkers, NY']",['5 p.'],"['Sanborn Library, LLC']",['1991'],['1991-01-01  '],['Sanborn Map Company.'],['Preexisting material: prev. pub. map versions.'],['New Matter: updated cartography.'],['C.O. correspondence.'],"['Insurance maps of Yonkers, New York : vol. 2.']","['Sanborn map, Yonkers, NY, vol. 2, 1991', 'Sanborn fire insurance map.']","['Sanborn Library, LLC', 'Sanborn Map Company']",['Rev. 1991.'],[],[],[]
6,['Map'],['VA0001078369 / 1999-09-16 '],"['Sanborn map, Yonkers, NY, vol. 2, 1988.']","['Insurance maps of Yonkers, New York : vol. 2.']","['Yonkers, NY']",[],['Sanborn Map Company'],['1988'],['1988-01-01  '],[],['Preexisting material: prev. pub. map versions.'],['New Matter: updated cartography.'],['C.O. correspondence.'],"['Insurance maps of Yonkers, New York : vol. 2.']","['Sanborn map, Yonkers, NY, vol. 2, 1988.']",['Sanborn Map Company'],['Rev. to 1988.'],[],[],[]
7,['Map'],['VA0000996817 / 2000-01-10 '],"['Sanborn map Yonkers, NY, vol. 2, 1988.']","['Insurance maps of Yonkers, New York : vol. 2.']","['Yonkers, NY']",['6 p.'],['Sanborn Map Company'],['1988'],['1988-01-01  '],[],['Preexisting material: prev. pub. map versions.'],['New Matter: updated cartography.'],['C.O. correspondence.'],"['Insurance maps of Yonkers, New York : vol. 2']","['Sanborn map Yonkers, NY, vol. 2, 1988']",['Sanborn Map Company'],['Rev. to 1988.'],[],[],[]
8,['Map'],['VA0001078429 / 1999-09-16 '],"['Yonkers, NY, vol. 2, 1979.']","['Insurance maps of Yonkers, New York : vol. 2.']","['Yonkers, NY']",[],['Sanborn Map Company'],['1979'],['1979-01-01  '],[],['Pub. map versions preexisting.'],['New Matter: updated cartography.'],['C.O. correspondence.'],"['Insurance maps of Yonkers, New York : vol. 2.']","['Yonkers, NY, vol. 2, 1979.']",['Sanborn Map Company'],['Ed. of 1917.'],[],[],[]
9,['Map'],['VA0000996822 / 2000-01-10 '],"['Sanborn map Yonkers, NY, vol.2, 1979.']","['Insurance maps of Yonkers, New York : vol. 2.']","['Yonkers, NY']",['6 p.'],['Sanborn Map Company'],['1979'],['1979-01-01  '],[],['Preexisting material: prev. pub. map versions.'],['New Matter: updated cartography.'],['C.O. correspondence.'],"['Insurance maps of Yonkers, New York : vol. 2']","['Sanborn map Yonkers, NY, vol.2, 1979']",['Sanborn Map Company'],['Rev. to 1979.'],[],[],[]
10,['Map'],['VA0001003797 / 1999-08-13 '],"['Sanborn map, Youngstown, OH, vol. 1, 1978; Sanborn fire insurance map.']","['Insurance maps of Youngstown, Ohio : vol. 1.']","['Youngstown, OH']",['7 p.'],"['Sanborn Library, LLC']",['1978'],['1978-12-01  '],['map: Sanborn Map Company.'],['Preexisting material: prev. pub. map versions.'],['New Matter: updated cartography.'],['C.O. correspondence.'],"['Insurance maps of Youngstown, Ohio : vol. 1.']","['Sanborn map, Youngstown, OH, vol. 1, 1978', 'Sanborn fire insurance map.']","['Sanborn Library, LLC', 'Sanborn Map Company']",['Rev. to 1978.'],[],[],[]
11,['Map'],['VA0000836968 / 1997-09-16 '],"['Sanborn map, Iowa City, Iowa; Sanborn fire insurance map.']","['Iowa City, Iowa.']","['Iowa City, IA']",[],['Sanborn Map Company'],['1970'],['1970-01-01  '],[],['Prev. pub. map versions are preexisting.'],['New Matter: new & rev. map & cartographic compilation.'],['C.O. correspondence.'],[],"['Sanborn map, Iowa City, Iowa', 'Sanborn fire insurance map.']",['Sanborn Map Company'],[],[],[],[]
12,['Map'],['VA0001078417 / 1999-09-16 '],"['Jersey City, NJ, vol. 2, 1993.']","['Jersey City, NJ.']","['Jersey City, NJ']",['Map.'],['Sanborn Map Company'],['1993'],['1993-12-01  '],"['Sanborn Map Company, Inc., employer for hire.']",['Pub. map versions preexisting.'],['New Matter: updated cartography.'],['C.O. correspondence.'],[],[],"['Sanborn Map Company', 'Sanborn Map Company, Inc.']",[],[],[],[]
13,['Map'],['VA0000855505 / 1997-06-10 '],"['Sanborn map Kahului, Hawaii; Sanborn fire insurance map.']","['Kahului, Hawai.']","['Kahului, HI']",['Map.'],['Sanborn Map Company'],['1975'],['1975-01-01  '],[],['Preexisting material: prev. pub. map versions.'],['New Matter: new & rev. map and cartographic compilation.'],['C.O. correspondence.'],[],"['Sanborn map Kahului, Hawaii', 'Sanborn fire insurance map.']",['Sanborn Map Company'],['Rev. 1975.'],[],[],[]
14,['Map'],['VA0000994814 / 1999-11-29 '],"['Sanborn map--Kahului, Hawaii, 1980.']","['Kahului, Hawaii : 1980.']","['Kahului, HI']",[],['Sanborn Map Company'],['1980'],['1980-02-01  '],[],['Appl. states prev. pub. map versions preexisting.'],['New Matter: updated cartography.'],['C.O. correspondence.'],"['Kahului, Hawaii : 1980.']","['Sanborn map--Kahului, Hawaii, 1980.']",['Sanborn Map Company'],[],[],[],[]
