,Type of Work:,Registration Number / Date:,Application Title:,Title:,Area Covered:,Edition:,Description:,Copyright Claimant:,Date of Creation:,Date of Publication:,Authorship on Application:,Previous Registration:,Basis of Claim:,Copyright Note:,Variant title:,Other Title:,Names:,Notes:,Date in Notice:,Imprint:,Scale:,Series:,Copyright Notice:,Cancelled Registration Number:
0,['Map'],['VA0000967731 / 1999-05-20 '],"['Sanborn map, Boston, MA, vol. 2N, 1992; Sanborn fire insurance map.']","['Boston, Mass. : vol. 2N.']",['Boston'],['Rev. Oct. 1992.'],['Map.'],"['Sanborn Library, LLC']",['1992'],['1992-10-01  '],"['map & technical drawing: Sanborn Map Company, Inc.']",['Prev. pub. map versions.'],['New Matter: updated cartography.'],['C.O. correspondence.'],"['Boston, Mass. : vol. 2N.']","['Sanborn map, Boston, MA, vol. 2N, 1992', 'Sanborn fire insurance map.', 'Boston, MA, vol. 2N, 1992']","['Sanborn Library, LLC', 'Sanborn Map Company, Inc.']",[],[],[],[],[],[],[]
1,['Map'],['VA0000954898 / 1999-05-20 '],"['Sanborn map, Boston, Mass., vol. 2N, 1990; Sanborn fire insurance map.']","['Boston, Mass. : vol. 2N.']",['Boston'],['Rev. Oct. 1990.'],['4 p.'],"['Sanborn Library, LLC']",['1990'],['1990-10-01  '],"['map & technical drawing: Sanborn Map Company, Inc.']",['Prev. pub. map versions.'],['New Matter: updated cartography.'],['C.O. correspondence.'],"['Boston, Mass. : vol. 2N.']","['Sanborn map, Boston, Mass., vol. 2N, 1990', 'Sanborn fire insurance map.']","['Sanborn Library, LLC', 'Sanborn Map Company, Inc.']",[],[],[],[],[],[],[]
2,['Map'],['VA0000967725 / 1999-05-20 '],"['Sanborn map, Boston, MA, vol. 2S, 1992; Sanborn fire insurance map.']","['Boston, Mass. : vol. 2S.']",['Boston'],['Rev. Nov. 1992.'],['Map.'],"['Sanborn Library, LLC']",['1992'],['1992-11-01  '],"['map & technical drawing: Sanborn Map Company, Inc.']",['Prev. pub. map versions.'],['New Matter: updated cartography.'],['C.O. correspondence.'],"['Boston, Mass. : vol. 2S.']","['Sanborn map, Boston, MA, vol. 2S, 1992', 'Sanborn fire insurance map.', 'Boston, MA, vol. 2S, 1992']","['Sanborn Library, LLC', 'Sanborn Map Company, Inc.']",[],[],[],[],[],[],[]
3,['Map'],['VA0000954899 / 1999-05-20 '],"['Sanborn map, Boston, Mass., vol. 2S, 1990; Sanborn fire insurance map.']","['Boston, Mass. : vol. 2S.']",['Boston'],['Rev. Oct. 1990.'],['4 p.'],"['Sanborn Library, LLC']",['1990'],['1990-10-01  '],"['map & technical drawing: Sanborn Map Company, Inc.']",['Prev. pub. map versions.'],['New Matter: updated cartography.'],['C.O. correspondence.'],"['Boston, Mass. : vol. 2S.']","['Sanborn map, Boston, Mass., vol. 2S, 1990', 'Sanborn fire insurance map.']","['Sanborn Library, LLC', 'Sanborn Map Company, Inc.']",[],[],[],[],[],[],[]
4,['Map'],['VA0000996794 / 2000-01-10 '],"['Sanborn map, Boston, MA, vol. 2S, 1988.']","['Boston, Mass. : vol. 2S.']",['Boston'],['Rev. Nov. 1988.'],['4 p.'],"['Sanborn Map Company, Inc.']",['1988'],['1988-11-01  '],[],['Preexisting material: prev. pub. map versions.'],['New Matter: updated cartography.'],['C.O. correspondence.'],"['Boston, Mass. : vol. 2S.']","['Sanborn map, Boston, MA, vol. 2S, 1988.']","['Sanborn Map Company, Inc.']",['Maps.'],[],[],[],[],[],[]
5,['Map'],['VA0000954911 / 1999-05-20 '],"['Sanborn map, Boston, MA., vol. 3E, 1990; Sanborn fire insurance map.']","['Boston, Mass. : vol. 3-E.']",['Boston'],['Rev. Oct. 1990.'],['4 p.'],"['Sanborn Library, LLC']",['1990'],['1990-10-01  '],"['map & technical drawing: Sanborn Map Company, Inc.']",['Prev. pub. map versions.'],['New Matter: updated cartography.'],['C.O. correspondence.'],"['Boston, Mass. : vol. 3-E.']","['Sanborn map, Boston, MA., vol. 3E, 1990', 'Sanborn fire insurance map.']","['Sanborn Library, LLC', 'Sanborn Map Company, Inc.']",[],[],[],[],[],[],[]
6,['Map'],['VA0000996795 / 2000-01-10 '],"['Sanborn map, Boston, MA, vol. 3E, 1988.']","['Boston, Mass. : vol. 3E.']",['Boston'],['Rev. Nov. 1988.'],['4 p.'],"['Sanborn Map Company, Inc.']",['1988'],['1988-11-01  '],[],['Preexisting material: prev. pub. map versions.'],['New Matter: updated cartography.'],['C.O. correspondence.'],"['Boston, Mass. : vol. 3E.']","['Sanborn map, Boston, MA, vol. 3E, 1988.']","['Sanborn Map Company, Inc.']",['Maps.'],[],[],[],[],[],[]
7,['Map'],['VA0000954901 / 1999-05-20 '],"['Sanborn map, Boston, Mass., vol. 3W, 1995; Sanborn fire insurance map.']","['Boston, Mass. : vol. 3W.']",['Boston'],['Rev. Dec. 1995.'],['4 p.'],"['Sanborn Library, LLC']",['1995'],['1995-12-01  '],"['map & technical drawing: Sanborn Map Company, Inc.']",['Prev. pub. map versions.'],['New Matter: updated cartography.'],['C.O. correspondence.'],"['Boston, Mass. : vol. 3W.']","['Sanborn map, Boston, Mass., vol. 3W, 1995', 'Sanborn fire insurance map.']","['Sanborn Library, LLC', 'Sanborn Map Company, Inc.']",[],[],[],[],[],[],[]
8,['Map'],['VA0000954900 / 1999-05-20 '],"['Sanborn map, Boston, Mass., vol. 3W, 1994; Sanborn fire insurance map.']","['Boston, Mass. : vol. 3W.']",['Boston'],['Rev. Oct. 1994.'],['4 p.'],"['Sanborn Library, LLC']",['1994'],['1994-10-01  '],"['map & technical drawing: Sanborn Map Company, Inc.']",['Prev. pub. map versions.'],['New Matter: updated cartography.'],['C.O. correspondence.'],"['Boston, Mass. : vol. 3W.']","['Sanborn map, Boston, Mass., vol. 3W, 1994', 'Sanborn fire insurance map.']","['Sanborn Library, LLC', 'Sanborn Map Company, Inc.']",[],[],[],[],[],[],[]
9,['Map'],['VA0000954929 / 1999-05-20 '],"['Sanborn map, Boston, Mass., vol. 3W, 1993; Sanborn fire insurance map.']","['Boston, Mass. : vol. 3W.']",['Boston'],['Rev. Oct. 1993.'],['5 p.'],"['Sanborn Library, LLC']",['1993'],['1993-10-01  '],"['map & technical drawing: Sanborn Map Company, Inc.']",['Prev. pub. map versions.'],['New Matter: updated cartography.'],['C.O. correspondence.'],"['Boston, Mass. : vol. 3W.']","['Sanborn map, Boston, Mass., vol. 3W, 1993', 'Sanborn fire insurance map.']","['Sanborn Library, LLC', 'Sanborn Map Company, Inc.']",[],[],[],[],[],[],[]
10,['Map'],['VA0000996796 / 2000-01-10 '],"['Sanborn map, Boston, MA, vol. 3W, 1988.']","['Boston, Mass. : vol. 3W.']",['Boston'],['Rev. Nov. 1988.'],['4 p.'],"['Sanborn Map Company, Inc.']",['1988'],['1988-11-01  '],[],['Preexisting material: prev. pub. map versions.'],['New Matter: updated cartography.'],['C.O. correspondence.'],"['Boston, Mass. : vol. 3W.']","['Sanborn map, Boston, MA, vol. 3W, 1988.']","['Sanborn Map Company, Inc.']",['Maps.'],[],[],[],[],[],[]
11,['Map'],['VA0000967719 / 1999-05-20 '],"['Sanborn map, Boston, Mass., vol. 4, 1995; Sanborn fire insurance map.']","['Boston, Mass. : vol. 4.']",['Boston'],['Rev. Dec. 1995.'],['Map.'],"['Sanborn Library, LLC']",['1995'],['1995-12-01  '],"['map & technical drawing: Sanborn Map Company, Inc.']",['Prev. pub. map versions.'],['New Matter: updated cartography.'],['C.O. correspondence.'],"['Boston, Mass. : vol. 4.']","['Sanborn map, Boston, Mass., vol. 4, 1995', 'Sanborn fire insurance map.', 'Boston, Mass., vol. 4, 1995']","['Sanborn Library, LLC', 'Sanborn Map Company, Inc.']",[],[],[],[],[],[],[]
12,['Map'],['VA0000967718 / 1999-05-20 '],"['Sanborn map, Boston, Mass., vol. 4, 1994; Sanborn fire insurance map.']","['Boston, Mass. : vol. 4.']",['Boston'],['Rev. Nov. 1994.'],['Map.'],"['Sanborn Library, LLC']",['1994'],['1994-11-01  '],"['map & technical drawing: Sanborn Map Company, Inc.']",['Prev. pub. map versions.'],['New Matter: updated cartography.'],['C.O. correspondence.'],"['Boston, Mass. : vol. 4.']","['Sanborn map, Boston, Mass., vol. 4, 1994', 'Sanborn fire insurance map.', 'Boston, Mass., vol. 4, 1994']","['Sanborn Library, LLC', 'Sanborn Map Company, Inc.']",[],[],[],[],[],[],[]
13,['Map'],['VA0000954903 / 1999-05-20 '],"['Sanborn map, Boston, Mass., vol. 4, 1993; Sanborn fire insurance map.']","['Boston, Mass. : vol. 4.']",['Boston'],['Rev. Oct. 1993.'],['4 p.'],"['Sanborn Library, LLC']",['1993'],['1993-11-01  '],"['map & technical drawing: Sanborn Map Company, Inc.']",['Prev. pub. map versions.'],['New Matter: updated cartography.'],['C.O. correspondence.'],"['Boston, Mass. : vol. 4.']","['Sanborn map, Boston, Mass., vol. 4, 1993', 'Sanborn fire insurance map.']","['Sanborn Library, LLC', 'Sanborn Map Company, Inc.']",[],[],[],[],[],[],[]
